gamma,kb,A,v,kappa
3.365,3.02,4.859999999999999,2.34,0.6148304752955915
3.455,2.02,1.9,1.74,0.7535212777360918
4.655,1.02,4.66,3.1,0.18564727018664537
3.485,3.7800000000000002,1.18,4.220000000000001,5.439961804726667
3.755,2.3,1.94,1.7,0.7315658502815873
2.915,4.54,3.34,3.98,2.8250340050968554
3.005,4.42,4.78,2.5,1.1529753023299492
3.425,3.34,3.2600000000000002,3.94,1.6646132439440893
4.115,1.06,1.54,2.1799999999999997,0.48170769840111727
4.085,4.98,3.22,4.62,2.316115848072722
2.735,4.46,1.62,4.58,7.267513430817945
2.285,2.26,4.9,4.42,1.5864686730723412
4.205,4.859999999999999,1.02,4.859999999999999,7.225107827842524
3.665,3.8200000000000003,4.58,4.46,1.3958396486887275
3.395,4.140000000000001,3.54,2.8600000000000003,1.3965535543682108
3.8449999999999998,1.18,4.38,1.98,0.18749548595228352
4.265000000000001,4.74,1.46,3.7,3.67912060248799
3.6350000000000002,3.22,2.54,2.02,0.9718358260245932
4.805,2.8200000000000003,4.300000000000001,4.78,0.8238608929499129
4.475,4.26,3.66,1.02,0.34164406179974055
2.675,4.58,3.38,1.62,1.310536077011393
4.445,2.94,1.42,3.46,2.0794374373965128
3.605,3.3,3.98,1.46,0.46470355616855863
2.3449999999999998,2.5,4.220000000000001,2.94,1.294948818689547
4.295,3.54,3.06,3.42,1.200749799160939
4.535,2.7800000000000002,3.86,3.3,0.6723292610534185
2.435,4.9,4.02,3.58,3.0408930954981197
4.865,3.2600000000000002,3.7,2.06,0.4696059578336422
4.895,2.98,4.98,3.5,0.5377092451964469
4.025,1.62,3.94,1.1400000000000001,0.15495238494777028
3.9050000000000002,1.22,3.7800000000000002,1.6600000000000001,0.18442932728647013
3.965,3.1,1.1,4.38,4.163115131074659
2.135,1.82,2.14,1.22,0.914158672650171
4.715,1.26,2.2199999999999998,3.34,0.5102760903568441
