epsilon,p_d,theta,r,Ef
1.488075228379751,1.3900921268422688,1.5962004966838168,2.822561757727496,-0.0002518360308858557
2.8431906078343365,1.6967739720474369,1.8132103857584572,1.0229238369635194,-0.03101757865217402
2.405065990985428,1.5083499072320428,2.151626477306979,2.468437189613594,-0.0045664604377682605
1.0223649253715898,1.488225707791675,1.89618631629636,1.0184392934655155,-0.09964906082271804
2.4690530636915726,2.0238771346076283,1.8987177998872244,2.9626267655962284,-0.0022946228314685885
1.6577217876911852,2.8038236782038446,1.290887011985962,1.715181791412896,0.021247659377999363
1.920305152173854,1.6583293447781318,1.6628321851680294,2.494311689601959,-0.0012157983925615546
2.8315897491289066,2.677004994020628,2.082833196336732,2.462609588664057,-0.006454905553757728
2.9828118487258646,1.3319522699862885,1.7880679012468486,1.6745898278787823,-0.004778558150998233
1.013429432687023,1.8294890796922736,1.0791418259943175,1.3347309943846788,0.0754284442755352
2.837625331241496,1.043144642892798,1.9139475475768963,1.8287639494839087,-0.004546410858002934
1.5752156654057312,2.1663855241653422,1.2212211530358106,1.428026134430665,0.03627962806481119
1.3805774547509242,1.7212824369041015,2.7061295791593194,2.388693455193108,-0.008352390952672073
1.2811968945939536,1.7943336580123768,2.6247875154218097,2.849594845031524,-0.006207109341370411
1.989175725778568,1.492996930610337,1.40127241914252,2.656861628610725,0.0015887976032647765
1.6714997398746017,1.1871257045537469,1.8168401533740648,2.6915733948729605,-0.0020541136432563768
2.682013836953769,1.8750238338167653,2.5662310092940785,2.015671485223857,-0.009303938541031663
1.6708704413712188,1.0991832571991962,1.6274444425183872,2.4192374435924964,-0.000626987957748923
1.5828888007385526,2.69899876810826,2.4068746871674875,1.4942647248126244,-0.060689876880852776
2.096659539446088,2.2015997492233903,2.8639859781243477,1.5350029815705932,-0.018267430957625688
2.1989496600079352,2.5296804477971846,2.1738713631706057,1.9018444907997132,-0.01864961440212846
1.2009844741686186,1.479127394454054,2.7806087550170964,1.9210635538254783,-0.01370363200407694
2.0171780217587223,1.6212083712578855,1.0851267493696646,1.4538899479519594,0.025773486938811187
2.338531855337143,2.7801786198488614,2.9540895556778484,1.6619687251173696,-0.011322789831010815
1.082454772446083,2.9930997610213264,1.9009418258908752,1.0134405160360058,-0.1944930473434795
1.4142981938070975,1.7997727728868802,2.6493975434637296,1.401658496344529,-0.04594544444827727
2.697741138721484,1.5395330081298884,1.953134595288319,2.7177889318356043,-0.0023491976180473515
1.2465103379198994,1.5314513584438316,2.8653835950258357,1.0282989296641305,-0.07077513376121025
2.5085205249976408,2.6697314660579696,2.171923673728372,2.125120157795269,-0.012347936649064948
1.6431953185036396,1.2015240990356224,2.25367345086214,2.7780132815034198,-0.003985911787159242
1.5884923311831929,1.8739850343091156,2.630842093252649,1.7468100299768663,-0.022533038346614645
2.9839002698424526,1.886550024981705,2.11610857030153,1.6140591393990378,-0.015918031514491476
1.946184277701553,1.4729963177561836,2.756585597472564,1.939139874195224,-0.00862524867463908
1.7178703519876222,2.4606789872913257,2.3653396494236496,2.582319968237349,-0.009927574689815071
2.3807601183534617,1.2927857191482994,2.4212812393480583,1.2952527882917628,-0.029575947404978587
2.9835003501579984,1.2829770387026649,2.05738271490844,2.643240799482743,-0.0022977293364919928
1.469987127136406,1.5800641589008968,2.7661313290744256,2.614579987144263,-0.004898022671572903
2.459233785094537,1.8301181924888248,2.310242988796591,1.5825921971014638,-0.022316033665261654
1.812491839050397,1.30543946457487,2.7907048200109337,2.06365219840166,-0.006315374552046279
2.522738644878316,1.08500109060811,2.3146011390314523,2.4365822961797807,-0.003536646521957027
2.4945881999654134,2.0949850892354234,2.70409886422409,1.6536660808430121,-0.017014473179410183
1.4680889459041953,2.3095148919803496,2.6661320129062847,1.384853003094774,-0.057548903264117386
1.00482781100881,2.849903385232448,1.608790637963882,1.39695504574954,-0.009427642994088985
2.708727039595149,2.700945928779271,2.8671455154097303,2.888827697485424,-0.002575875082039071
1.037408463200399,1.625867050637539,2.4003537971077167,1.4218198546755874,-0.0648316270481742
2.891118050243337,1.8458771480820877,1.9998207017197605,1.0486380587858628,-0.0500022462120432
1.833898878605867,2.6983195302993814,2.346415113129882,2.218917306118398,-0.016072852559874604
1.4194506516399636,2.3791130980275885,2.7416301309330744,1.7951038410523548,-0.024809078215266157
1.600421783678886,2.534162650060808,2.8391009116364474,1.6896258364536485,-0.02228589393537912
1.2887591212009548,2.5487197982815584,2.8364767126707267,1.6412726736263306,-0.030597625497161905
2.307728097344333,2.3738430344675354,2.179197782181196,2.2296440630176235,-0.010390658637213591
1.8352690768225648,1.6878421640905372,2.139171793538233,2.7249974953646747,-0.004922124816923419
2.055286931465245,1.8605665690015252,2.1507684441317547,2.3579774058165084,-0.007556153237379058
1.0798795854678465,1.2450285567886463,2.0008080273374578,2.3172445615061923,-0.008382190066594837
2.9147864700221238,1.0635746665311685,1.6638115979829309,1.088981529785564,-0.006238174008788232
2.035341602431233,2.6926077173468377,2.792747884881993,2.348292176709204,-0.007834284167198044
2.757635686529108,1.6897564351539898,2.466681860921117,1.1929101762353826,-0.04203922352147807
2.040383359592844,2.4199212575880016,1.9188055979923329,1.2940048600343874,-0.04189233507704602
1.2646131419924889,2.035592655812917,1.5902994075386474,1.0176062275274198,-0.00711047136387933
2.8301500230075884,1.325795380809999,1.5919370466325715,1.5020841326645338,-0.0006974065516853081
1.3833880562064484,1.134671961375192,1.3301617913351598,1.777771175415797,0.008066246382781497
2.7907189061104267,1.8868108501336769,2.467950308117623,2.8919873999438264,-0.003253604854788485
2.5009823581383652,1.2890829504856056,1.7385390214528198,2.2748367676214025,-0.0017206679451458975
1.1207633483371142,2.0637796619189874,2.9284597858838963,1.3471203101743423,-0.037175722805836864
1.907418982622777,2.2737993284260214,2.1732498341857145,1.8832758781710572,-0.01989308943300918
1.9688840464658024,1.1408316293996763,2.264083167185931,1.998226147341888,-0.008521916817032323
1.070318553740516,1.6321984300818535,2.8899710655017,2.5485613098453377,-0.005303291960741688
1.3684232913999026,2.386798766848731,2.9699543106163238,1.6828714124624315,-0.01470296871231919
1.33536440961428,1.015610033886463,1.0254554309690462,2.669244496943316,0.004233881969525821
1.89512766903782,2.96704856828944,1.1161370738776704,1.7558932282021205,0.027239379787672584
1.9354856605588628,2.2064851084400483,1.6527309113390996,2.2203700612587403,-0.0020280010032790578
1.6354635143772196,1.2228905341087881,1.1658183791374044,2.5900577031179024,0.0037204233289657705
1.7999605007730075,1.1851754750378556,1.9091431203717657,1.3486385402708636,-0.020065054809201732
2.1563111392975434,2.240791355696354,1.4298705450008429,2.7779293149187123,0.0016093958628017287
