epsilon,c,Ef,r,omega,omega_0,Pwr
1.755,1.625,1.9849999999999999,1.835,1.885,4.57,6.661570059064033
1.795,1.255,1.895,1.9649999999999999,1.395,4.37,1.684475090350716
1.195,1.095,1.105,1.415,1.125,4.85,0.04333010943614592
1.505,1.865,1.685,1.795,1.595,4.07,3.5409938808143466
1.695,1.895,1.095,1.815,1.135,4.27,0.30716093608371703
1.085,1.055,1.725,1.635,1.575,4.05,1.2109084012492757
1.435,1.085,1.255,1.645,1.2850000000000001,3.05,1.2945963921247863
1.705,1.645,1.595,1.245,1.255,4.43,0.3527487459939157
1.035,1.305,1.195,1.005,1.425,3.93,0.1869960580290248
1.685,1.315,1.665,1.105,1.545,3.67,1.4576549769810836
1.105,1.045,1.885,1.9849999999999999,1.065,3.27,0.95348518376492
1.045,1.375,1.7850000000000001,1.335,1.365,4.79,0.26699302109368434
1.375,1.475,1.655,1.545,1.225,3.5300000000000002,1.0412085946474499
1.165,1.415,1.035,1.595,1.645,4.29,0.5591699944184738
1.7850000000000001,1.8250000000000002,1.175,1.7850000000000001,1.455,3.89,1.5881828272267762
1.7149999999999999,1.795,1.8050000000000002,1.435,1.5150000000000001,4.87,0.9931596810989785
1.905,1.5150000000000001,1.5150000000000001,1.185,1.795,4.71,1.124978649399966
1.625,1.7349999999999999,1.855,1.605,1.915,3.77,12.659183710214647
