m,r,v,theta,L
3.54,3.18,2.34,1.06,22.979455517898312
4.7,2.58,3.18,4.58,-38.223249797347734
4.140000000000001,1.7,4.58,3.18,-1.2377195897379376
1.1400000000000001,2.5,3.98,4.9,-11.143959984997805
3.98,3.62,3.22,4.1,-37.96189796329655
2.54,3.02,1.94,3.62,-6.850867227372343
2.5,2.74,4.9399999999999995,4.0600000000000005,-26.88967913604057
3.42,2.94,2.38,3.98,-17.7941640724914
4.5,4.0600000000000005,2.58,2.06,41.60782331247225
3.62,3.2600000000000002,3.06,4.18,-31.113704660238167
3.14,3.58,4.42,1.26,47.30565972966189
1.38,1.38,4.34,4.859999999999999,-8.175215236490502
2.42,1.58,3.94,4.300000000000001,-13.802025178475555
4.02,2.02,3.8200000000000003,3.2600000000000002,-3.664410644342565
4.78,2.66,2.26,2.34,20.64540770106864
2.2199999999999998,3.22,1.1400000000000001,3.1,0.3388481363654725
2.14,4.1,2.46,4.38,-20.402648625687643
4.46,4.9,4.18,3.34,-18.00577640729367
1.18,1.6600000000000001,2.14,4.140000000000001,-3.5236933973026217
4.9,4.42,4.140000000000001,2.02,80.76882881986785
1.22,1.74,2.1,1.18,4.121782650593465
4.1,2.9,2.66,4.62,-31.492514612508856
3.7,3.34,4.78,1.8599999999999999,56.618087195862486
2.3,4.38,1.06,4.26,-9.604246702998589
3.22,2.42,2.06,3.06,1.3083005767960456
2.7,4.34,4.300000000000001,2.1,43.49487564108347
1.98,2.46,2.42,1.62,11.773070299640873
2.62,2.8200000000000003,3.46,3.58,-10.851808360154457
2.34,3.38,2.02,3.38,-3.7729553181609132
2.46,1.18,1.1,3.14,0.005085468174575761
3.74,3.7,3.02,3.8200000000000003,-26.225951207389226
4.0600000000000005,2.98,3.1,2.7,16.029429454416487
1.3,1.5,3.74,2.54,4.12751878866239
4.9399999999999995,1.06,1.82,1.5,9.506374601093317
4.220000000000001,2.34,2.8600000000000003,2.1799999999999997,23.16131664123863
1.46,3.46,3.38,4.220000000000001,-15.046071217051368
1.62,3.42,4.02,2.94,4.459603913557039
2.38,4.58,4.1,1.22,41.969890356843486
3.86,1.78,3.7800000000000002,4.78,-25.912285216775192
4.82,4.26,2.9,3.7,-31.549771200656604
1.6600000000000001,2.14,4.74,2.14,14.183476524140138
2.58,4.82,4.220000000000001,4.9399999999999995,-51.124726552089705
4.98,4.66,1.3399999999999999,2.9,7.439963186492084
4.54,2.54,4.98,2.66,26.59985522554043
2.74,2.2199999999999998,2.7800000000000002,4.74,-16.90373851450644
1.74,2.06,3.34,3.74,-6.744095659212083
3.9,2.38,1.18,4.02,-8.43059282723457
2.1,1.1,1.22,1.9,2.666862907120672
1.9,4.7,4.0600000000000005,1.3,34.93457285884867
3.5,2.62,3.2600000000000002,3.54,-11.597482331133675
2.9,4.140000000000001,4.66,1.82,54.219678778238624
4.66,4.300000000000001,4.7,1.42,93.109838912907
1.1,2.7,2.54,4.42,-7.2236260965958135
2.66,4.62,4.82,2.46,37.319199055461404
3.2600000000000002,1.42,2.7,3.3,-1.9716381917853967
3.3,2.1799999999999997,1.74,4.5,-12.236291899679909
4.74,1.54,3.5,2.7800000000000002,9.038183752360776
4.38,1.98,2.98,2.62,12.876950317604237
4.62,1.46,1.7,2.8600000000000003,3.1864734495906646
4.34,3.54,3.9,2.98,9.640232327832612
4.58,4.18,2.74,2.42,34.65122025436851
3.02,1.94,1.3,1.46,7.569738757822988
2.8600000000000003,4.5,4.859999999999999,1.38,61.41317098843642
