gamma,pr,V,E_n
4.609482893215292,2.38448754276412,2.002979902511749,1.3232035632926
3.733328268595762,1.7966343419847224,1.6595046209081512,1.0908031160624807
2.2721250657947483,1.6586268235577375,3.0049932843843483,3.917981494199184
4.412415848201464,2.537467746728375,2.8095429214894927,2.08917226488854
4.476114925193404,3.677679706192714,1.2314447203882528,1.3028508420843026
3.191013855501331,2.517099631176965,1.6204791940473229,1.8616530294525029
2.9567790144339265,2.749673844331525,3.2586299253441964,4.579040048968944
3.723677234129011,1.1582816860612186,2.7335002600350933,1.1624590646676665
3.880811121647663,4.3185766013860425,2.8150244439440293,4.219956874157504
3.3753747598509736,3.6582309407356446,3.2020205144159566,4.931318929835566
4.633642267955402,2.675059542666052,3.2842535799719648,2.417842272784509
4.694141404731777,4.180719844223112,2.641865666555793,2.9898422956398614
3.163811286525116,3.7709890206047176,4.862559293798485,8.474240717359656
3.1993043929771545,1.5030173556131028,4.151331437577223,2.837043939667915
4.3575782942258785,3.670592185361736,3.0051174822509346,3.2852728305438994
2.4635761753715366,3.2019490563874036,3.717920306704527,8.133906262005173
4.399547587466122,4.416933464909472,3.109948870383767,4.040666261122713
3.6588809864087515,3.350546143573892,2.339288771737563,2.9478171504913213
3.7331327656503626,4.430865111480647,3.2324443931088624,5.240332729617389
4.8780914634621055,2.68788895569536,3.5022408932415385,2.427388499167761
4.804912244242543,4.15534310740189,4.284121930463542,4.678687809937878
2.9384189520724666,1.3546333274446756,2.7864532181214914,1.9472686183743668
4.968498232166531,1.357254612635746,4.674565837187242,1.5987347539092018
2.9879562745022863,1.1865919861029672,4.0049438043110355,2.390512449363605
4.789262992176361,4.374787190744918,2.621917152319066,3.027060828673669
4.618616550051863,1.1712410702000842,3.6001539809468204,1.165265272848214
3.0412841007294213,1.1847492316366353,4.827145255281655,2.80164658616103
2.3320120923766208,4.661226746552108,1.4541270193148503,5.088554221171455
3.733989003613458,1.266131775317655,1.5841105654538032,0.7336140415658565
2.224402504356942,1.674807702382333,1.2604914949178667,1.7241722856362556
2.801725616310147,4.990019728550699,2.7210382156981967,7.536127729749216
3.1979647466068437,3.5526074069337072,4.1330174855159845,6.6802657115851405
2.076390624919501,3.2364599025554326,3.8510351423233953,11.57918002341727
3.349684726569997,1.5061084782104794,2.432106509121016,1.5589394576544842
4.956227542115903,4.115021439878063,3.6954218828574414,3.843747639757831
4.217482557531417,2.729381169763569,2.58238404518534,2.190628934266699
2.508040163881716,4.802392363092312,1.6983052459073495,5.408296369343105
2.6576908482107013,3.619488366951698,2.3299551032425847,5.087345086575738
3.059660332025174,4.1658696836138365,1.617136278375093,3.270820383150713
2.7611315940829915,4.070992508468629,1.395816353317988,3.226537946765014
4.026382003934514,2.3676320552388104,3.3118682418314314,2.5909767510820707
2.1426707213016245,3.1145847131132833,4.862407741835309,13.253495113966745
2.3852343593218506,4.711273230910719,4.139115213236828,14.0774032729917
3.3891218916172647,2.6139943717747256,2.0966840775310565,2.294031291281588
3.9883726972650657,4.700044203322243,3.8566550606327783,6.065658837844978
2.0225753900305183,3.2040574974779665,4.214247354009379,13.204592015887904
3.5018090044341657,1.7983184668900243,3.5770139787936657,2.571183604738553
4.1073803380261165,2.879824201342996,4.656419985072769,4.315426341774404
2.0845330632451087,1.1244720613453838,4.291169464885224,4.449196006365846
4.538030246183972,1.0607480338189772,3.8037295880473816,1.1404081935286332
3.7216781464964295,4.673845626401381,2.8958809871885696,4.972998259905736
2.245743947846853,3.339210213616312,4.21213798334119,11.290614094047553
3.058982947219241,1.6056905854249433,2.3899561408520182,1.8637988625050976
2.0383642754572917,3.5663399762203096,2.3715667034649672,8.145323698771644
3.8864792368241834,3.8243825036340127,4.516526518351789,5.98408080460955
4.19539801651097,2.975339444298959,3.9128602474201255,3.64339195744084
2.4609913534768064,3.751277078355728,4.891373045187076,12.559208884043967
3.413759879877681,4.81782717781922,4.01634038283729,8.016552935989194
4.531641006202124,1.3024137721682685,4.219530702036488,1.5560966952099775
3.6140011073732317,3.3338874641217484,3.175348391520875,4.049827739877493
3.8705007448566526,2.238656491686465,3.220597135532948,2.511690929704919
3.1430118670659066,2.7134468283983084,1.4215192610538372,1.7999046060788868
2.3925992791653483,1.448732289037598,4.7126673068548515,4.902625900412981
4.6999458931745,1.0937975911881614,4.567523927747002,1.3502756024298266
4.854655973010176,3.7609117962679752,1.3541735483919233,1.3212404188600209
2.5800337475210617,3.012948148171624,3.5535702580990316,6.7762621813205985
