n_0,kb,T,theta,p_d,Ef,n
1.17,1.05,2.67,2.9699999999999998,2.51,1.69,-0.5742969083257153
1.95,2.41,2.27,1.57,1.4100000000000001,2.45,1.9509805464955756
2.27,2.39,1.57,1.9100000000000001,2.35,1.05,1.7733098159225826
1.73,1.31,1.3900000000000001,2.45,2.33,1.79,-1.3220391234396898
1.07,2.73,2.9699999999999998,2.49,1.55,2.15,0.7203231055864298
2.6100000000000003,1.87,1.6099999999999999,2.79,2.31,1.73,-0.6424897810106407
2.91,2.9699999999999998,1.63,1.11,1.75,1.67,3.6911474153791346
2.0300000000000002,2.29,1.9300000000000002,2.35,2.13,1.01,1.3356438936154535
1.15,2.0700000000000003,1.29,1.6099999999999999,2.5700000000000003,1.37,1.0905698285488752
2.49,2.91,2.73,2.17,1.47,1.81,2.019665086129606
1.85,1.47,1.35,1.33,1.05,2.17,2.356540802386075
2.17,2.05,1.73,1.5899999999999999,2.41,2.67,2.0943958409892263
1.63,2.77,1.53,1.95,2.1100000000000003,2.75,0.8038755417562531
2.79,2.71,1.07,1.97,1.01,2.4299999999999997,1.8721403308580613
2.87,2.85,2.39,1.03,2.85,1.71,3.9271449562590166
2.37,2.95,2.99,2.5700000000000003,2.4299999999999997,1.4100000000000001,1.595721112582768
1.21,2.13,1.4100000000000001,1.51,1.21,2.5300000000000002,1.284938037266692
2.4699999999999998,2.6500000000000004,1.9100000000000001,2.19,2.75,1.6099999999999999,1.216010627985623
2.85,2.27,2.89,2.4699999999999998,1.8900000000000001,2.13,1.4809133133599992
2.5300000000000002,1.6099999999999999,2.69,1.9300000000000002,1.83,1.19,2.0828004275070042
1.03,2.75,1.69,2.41,2.0300000000000002,2.39,0.22988999143313574
2.69,1.73,2.49,2.29,2.49,1.03,1.6349145893529924
2.67,2.4699999999999998,2.29,2.01,1.15,1.17,2.3999308120361666
1.71,1.69,1.31,1.27,1.71,1.8900000000000001,2.44960466235356
2.6500000000000004,2.37,2.31,2.59,2.6100000000000003,2.41,0.05686488336914998
1.97,1.97,1.13,2.81,2.9299999999999997,1.95,-2.810758765712004
2.4299999999999997,2.33,1.71,1.73,1.63,2.25,2.0753978984913015
2.35,2.79,2.4699999999999998,2.75,2.9699999999999998,1.11,1.3108931578441716
2.29,1.81,1.37,1.65,2.71,2.0700000000000003,1.8801101785052148
2.71,1.21,2.0700000000000003,2.31,1.9300000000000002,2.49,-0.7929710137282224
1.8900000000000001,2.6100000000000003,1.45,1.45,1.77,1.75,2.0764067512585918
1.09,2.67,1.67,1.49,1.67,1.63,1.1437058802882563
2.19,1.13,1.81,2.6500000000000004,1.19,2.05,-0.11277088416893541
1.37,1.45,2.23,1.79,2.19,2.51,0.8635579188484773
2.81,1.53,2.0300000000000002,2.05,1.35,2.19,1.5767073737482677
1.29,1.77,1.99,2.9299999999999997,2.81,1.85,-0.5714269442363864
1.05,1.4100000000000001,2.95,1.29,2.99,2.37,1.5457205769344748
1.3900000000000001,2.99,2.09,1.07,2.4699999999999998,2.31,1.9993402715366484
1.4100000000000001,2.17,1.47,2.85,1.43,2.77,-0.2669761897259728
2.9699999999999998,1.3900000000000001,1.15,1.83,1.13,1.87,1.9636919467491603
1.75,2.5700000000000003,1.55,2.83,1.69,2.71,-0.16512067298252064
2.45,2.25,2.41,1.53,1.49,1.3900000000000001,2.4881652558998666
1.57,1.99,2.25,2.37,1.73,2.91,0.304675878629749
2.13,2.45,2.6100000000000003,1.25,1.07,2.27,2.3851158363009737
2.39,1.95,2.87,1.85,2.5300000000000002,2.81,1.5532955520805274
1.55,1.5899999999999999,2.83,2.23,1.97,1.57,0.8974537575108406
1.77,2.0300000000000002,2.17,1.01,1.3900000000000001,1.31,2.1591360881624704
1.35,2.55,1.23,1.8900000000000001,1.31,2.01,0.9943495334944592
2.01,2.35,1.97,2.21,1.79,1.97,1.0966592725330495
2.77,1.79,2.1100000000000003,1.47,2.89,2.0300000000000002,3.20295944887852
2.21,1.11,2.5700000000000003,2.4299999999999997,2.63,1.51,-0.11996759864737175
1.9100000000000001,1.49,2.5300000000000002,2.71,1.85,2.63,-0.3291525755491404
1.83,1.03,2.63,1.19,1.09,1.55,2.2541915235545913
1.47,1.9100000000000001,1.95,1.71,1.95,2.21,1.2339937917802153
1.51,2.51,1.8900000000000001,2.77,1.45,2.85,0.28438576920501335
1.27,1.67,1.85,1.21,1.57,2.59,1.8600835555255761
1.43,2.23,2.15,1.3900000000000001,1.5899999999999999,2.33,1.6286857832705768
2.1100000000000003,2.31,1.83,1.31,1.17,2.6500000000000004,2.5090417274810197
2.15,1.55,2.51,1.13,2.15,2.35,3.3412998743270292
2.5700000000000003,2.87,2.91,2.27,1.29,1.29,2.2404211193141887
2.75,2.01,1.87,2.09,2.25,1.49,1.5329431300505845
