q,Ef,m,omega_0,omega,x
1.8728746900983009,2.6732244492230555,1.1289233000014507,4.2677295665159365,1.8714829533295845,0.3014640497531259
2.382421956947837,1.711023784664208,1.986866934267584,3.943276381112675,1.5549434597126144,0.1562388312717157
2.7779989967218266,2.9501215082827823,2.1909598249383966,3.4413071845964494,1.473085044780741,0.3867173401738433
2.7657736039407417,1.030021359516721,2.294242415383811,3.855353074728645,1.5262500145411677,0.09906567057440692
2.85880671594056,1.244612215547533,1.0578921911883077,3.732619588374656,1.5119284387058176,0.28878937634949803
2.978824205989669,1.593956206605822,1.3675771931391651,3.740369341392885,1.7387671600315568,0.31657712017655537
2.5341510557833318,2.3668711875317068,2.421811072176739,3.4867257480333493,1.5430993574966254,0.25333849706112305
1.5444491420015587,2.656413137656926,1.4003485491509793,4.4897574092892265,1.8753180822233044,0.17605605206546104
1.6710042002251069,1.0755109781580428,2.058339182519629,4.010536519701182,1.9406039951969236,0.07087924040127247
2.0891965894726967,2.9734072198007166,1.8216069557183987,4.955012586503479,1.7585490758560185,0.1589118525688508
2.592549016693631,1.8083595396422367,1.4553160950486868,3.090000574782305,1.4033550049799648,0.42506936648100185
1.8193062189196059,2.816744517925853,2.6583303168207584,3.5798514796541565,1.260265436234885,0.17170303754463265
2.0143300542866527,2.9803037103824286,2.2380160239546467,4.181226047502949,1.59059093502727,0.1793945169988772
2.2981541894806377,2.1483769367227987,1.8405498381551408,3.9312153322363743,1.6806830179846153,0.2123963328142188
1.121009512871813,1.1492223545112372,2.4065402956857564,4.515127344513751,1.9282284490405381,0.032116532994327075
1.4013503075114973,1.2788536352668989,1.4857145601262338,4.09087440122646,1.296489313035122,0.08012529178894744
2.6158516513782053,2.25665411870769,1.7425522250083283,4.332800183008903,1.5046397335506898,0.2051945581880451
2.8968456215444656,2.424637614203736,2.182248872495642,3.8278061718684917,1.3400287313304975,0.2503500922801469
2.061867616944585,2.6856622814955005,1.0549936157953468,3.9941822197337884,1.2429510420656522,0.36428529181527214
2.1565287997747085,2.0211129810642743,1.9282759874197672,3.5251159836673667,1.055011203462777,0.1997946001541696
1.2607125966215993,1.7167557965400533,2.8376102288524683,3.7963466641953714,1.2728049843168674,0.059624686388011224
1.222777464843024,1.5461391128804822,1.7654039251730085,3.615488714159224,1.4119016281583758,0.0966671868247258
2.5929951414655505,2.8280770118289533,2.8668647837363213,3.203499887499551,1.0908658996868787,0.28194372172882776
1.2490674954941878,2.662887413437727,1.3662604550475457,3.00064309807584,1.2111606397710857,0.3230052953784723
1.4130134906866354,2.8670539374627797,1.4193130560855776,4.4452048871657235,1.6151409159465158,0.16642183856182638
1.1253517613322024,2.954805393024204,2.5258683405513533,3.1668835007052327,1.9356496220640609,0.2095463396197229
2.7892618372687155,1.828742382039953,2.6371615965560373,4.306546289450118,1.2870207329713788,0.1145189918714936
2.7771199517389613,1.6453639790941592,1.6102367257288557,3.826544107046972,1.964856456675919,0.263194296866283
1.5768048493655509,2.8735285700781916,2.275463220269498,4.141765186126571,1.4829982087348887,0.13314936867089244
1.2347501264001115,2.3224095654147066,2.816136603810232,4.784196993413729,1.4371755185046584,0.04890119458937967
1.270843377942189,2.7468916710692244,2.6825724824785544,3.95186521192578,1.0930842060160035,0.09022863624208334
1.5620380753613383,1.698970440101104,2.8217294070926457,3.6091364010598506,1.6167079743877175,0.09032809945649313
1.4517066150343163,2.9859869202949447,1.3685407206400892,4.190096596534927,1.3555987742378564,0.20150085585471253
2.4013997465092976,2.764288641465836,1.7878447636023482,3.121885845357596,1.5812587808368188,0.512427213742443
1.9566673803802936,1.1162311665760956,1.380315900741954,4.291772874795482,1.5361737466445136,0.09852831469738907
2.9408281029420418,1.519835149705841,2.994265247628672,3.94672513463179,1.0416583428477777,0.10300537806819382
2.7260172253899224,1.503804422395847,1.143912134942371,4.160922990171959,1.4203373956760688,0.23428885575285005
1.071673554082389,2.9534349083630578,2.0409801233974028,3.892959016923825,1.9015760889772293,0.1343933452145846
1.0506714460297606,2.335602064014544,2.4846900500863893,3.3989777996874424,1.4564749903592076,0.10471337748347444
2.9868162667592317,2.18358829990192,1.2629894220190006,3.3677467408920867,1.456049525766871,0.5599786751985866
2.7307682586656754,2.121139701672809,2.799200128558839,4.0833954334413365,1.01838762637266,0.13233252433073156
1.6073228613192982,1.6378260569778578,1.3338821739132694,3.4192070437388717,1.769589548776762,0.23057038748306874
1.8207226556634832,2.357107226831324,2.7859471168031917,3.826830406257142,1.335469975153357,0.11977617318124732
1.7408906003293612,2.941805356437431,2.2133269347936166,3.5305442873222783,1.6447640918493025,0.2370896208502064
2.6356048038681097,2.351187897143478,1.6892856573632682,4.968007395967,1.9177469846181407,0.1746530153223091
1.754680759344177,1.4229964918186484,1.4222004426807076,3.7684099802160334,1.0090225025177249,0.13317842872170402
1.9269996921656567,2.0557875586006458,2.7335893526909025,3.4877284807958,1.8563323713445,0.16622478789819506
2.3840259165859354,2.3540526044130297,2.9009133182415408,4.254849689366837,1.8012304736695932,0.13019478971456935
1.700283390793215,1.126983829143264,1.7680827935275911,4.154783119725669,1.7358223421581278,0.07605847911959454
2.808401075455559,2.6107437952583794,1.9062371401140568,4.448063686095745,1.9690964089016432,0.24178691280614964
2.95602382202718,2.076233814316602,2.119526347515564,4.81405000714244,1.916941302816325,0.14849148452323288
1.2796276879226045,1.9070657022231243,1.3160974745955072,3.5745251238237388,1.4617059802285777,0.17425821226512742
2.697646322566669,1.5742936443401745,1.2761940780029244,3.6712320664288143,1.785871932396148,0.3234427922055926
1.4808236510661794,2.888554163685243,1.8600085322464648,4.510502392256479,1.2794543824729758,0.1229278224356196
2.6787848447126805,2.9588923590467564,2.719219174651601,3.7538120019580763,1.39512467796354,0.24001305309804505
2.6890513582387685,2.81340280794193,2.201692688680768,4.675927152256687,1.908046135163296,0.18855533978275185
2.8112381958397807,2.434165850389838,1.813855262678606,3.098052375872423,1.919757278168492,0.6380826371873299
2.9962987551109985,2.047608076406273,2.087489316679523,4.0247262912764485,1.3268254165925495,0.20356446643328366
1.4445282045331924,1.22084423787647,2.1969301109164245,3.4564972419437403,1.3254434902558807,0.07877192326253571
