omega,T,h,kb,c,L_rad
2.58,2.26,3.62,2.8200000000000003,4.300000000000001,0.20640983363515905
3.14,2.7,2.7,4.42,1.6600000000000001,4.086451890261125
2.8200000000000003,1.3399999999999999,1.8599999999999999,2.66,3.94,0.16418875771569594
1.9,3.3,3.2600000000000002,4.38,3.42,0.43676621493824397
1.46,2.3,3.38,2.46,1.1,0.9414392290388861
4.26,3.7800000000000002,2.8200000000000003,3.74,1.18,17.43493053340997
3.42,2.8600000000000003,1.94,3.7800000000000002,2.66,1.7237100379232688
3.5,2.8200000000000003,2.62,4.46,4.140000000000001,0.8589707167052136
3.62,3.74,3.42,3.18,4.7,0.6572763874478639
3.2600000000000002,4.66,3.3,3.62,3.34,1.5470723030410294
2.8600000000000003,2.34,4.9399999999999995,2.42,4.42,0.19567886407143747
4.0600000000000005,4.300000000000001,3.1,1.3,3.02,0.8511702306627983
4.02,4.26,3.8200000000000003,3.42,1.74,7.23690800906574
1.1,2.02,3.58,1.94,4.46,0.022272904434311073
2.46,2.54,3.02,1.8599999999999999,2.1,0.5780952419072899
2.1799999999999997,4.38,4.38,1.02,2.9,0.21475146593814004
3.74,3.02,4.26,4.74,1.1400000000000001,14.26875124613727
4.82,3.86,1.74,3.06,1.3399999999999999,14.625917038526598
1.3399999999999999,1.9,4.02,4.859999999999999,2.14,0.3500701177640979
2.66,1.02,2.58,2.94,4.58,0.0849553812746768
3.94,1.42,1.54,4.78,2.34,1.8143327221347634
2.26,2.14,4.0600000000000005,4.300000000000001,1.42,2.1792453199166086
2.02,1.6600000000000001,4.78,4.34,1.78,0.8433719134572369
1.3,4.140000000000001,1.98,4.0600000000000005,2.8200000000000003,0.35752953158385464
4.58,1.54,2.26,1.6600000000000001,3.1,0.40263831187019145
4.42,1.7,2.8600000000000003,4.9,4.1,0.867202144544523
1.42,3.22,2.7800000000000002,1.78,3.3,0.10174299651946161
1.22,1.3,2.3,3.5,1.3,0.3864176842949794
3.46,3.42,1.3,3.66,2.1799999999999997,3.1043341836782266
3.98,2.06,2.46,1.58,4.0600000000000005,0.24708046041202808
2.06,2.94,2.94,1.38,4.66,0.07116701060389787
2.54,2.2199999999999998,3.9,1.1400000000000001,2.26,0.23341807047305516
1.94,2.74,3.7,3.22,1.38,1.6547464702169212
4.46,4.78,4.220000000000001,2.98,3.9,1.6959794719926797
2.62,3.66,4.18,3.38,3.14,0.8126188454551686
2.5,4.5,2.66,4.7,4.98,0.526647763112688
1.58,4.9399999999999995,2.74,3.02,3.06,0.3937658859275867
4.220000000000001,3.18,3.34,1.42,1.8599999999999999,1.8183764297038856
3.86,1.38,3.66,2.02,1.7,0.9469928425949858
2.3,1.94,3.7800000000000002,4.18,3.8200000000000003,0.27316691745350785
2.74,3.94,1.7,3.9,1.62,4.347240186291553
1.74,1.78,4.46,4.98,3.5,0.2068735280103412
4.38,1.1,3.86,3.2600000000000002,2.58,0.7029734245240145
1.6600000000000001,4.42,1.78,4.26,1.94,1.3794633411560209
4.18,2.42,4.5,1.54,2.2199999999999998,0.8722400953925817
3.06,1.46,1.02,3.1,3.7,0.29675844915039984
1.62,1.58,4.1,1.74,4.5,0.029603507336368694
4.859999999999999,1.82,4.7,4.02,1.5,6.008024658083671
4.78,3.62,3.54,2.1,3.22,1.4144145410524105
1.7,1.1400000000000001,4.9,1.1,3.62,0.015771177112675783
3.1,3.14,2.98,3.54,3.7800000000000002,0.7084905888398662
4.9,4.58,4.42,3.7,3.54,2.9664348919751085
1.1400000000000001,2.9,3.94,3.58,1.9,0.3658020668527435
2.38,1.98,1.9,1.26,2.38,0.2180663136885967
3.18,4.34,1.46,1.06,4.54,0.21081089217469567
3.3,3.7,3.98,2.38,3.18,0.8513098661430952
4.62,4.220000000000001,3.74,4.82,2.94,4.752916428409759
3.34,4.18,1.62,1.22,1.54,2.2310171112428243
3.8200000000000003,4.859999999999999,1.38,4.9399999999999995,2.98,3.927779609488344
4.9399999999999995,3.8200000000000003,2.06,3.46,1.98,7.835784979364075
4.74,4.9,1.3399999999999999,1.62,2.06,3.9928858606829096
1.5,3.06,2.2199999999999998,4.58,4.34,0.16643806773638004
3.02,4.1,1.1400000000000001,2.62,4.220000000000001,0.5433139319434503
1.82,2.98,3.5,1.18,1.26,0.6413441488846745
