q,Ef,B,v,theta,F
4.18,3.8200000000000003,3.34,1.3399999999999999,3.66,6.697831183492684
2.62,2.46,2.1799999999999997,1.54,2.62,10.827841643071164
4.02,4.220000000000001,2.54,4.5,2.46,45.913425405429244
2.98,2.8600000000000003,4.58,4.300000000000001,2.1799999999999997,56.65315889047694
2.5,4.34,2.5,1.26,4.82,3.0205527835494883
4.62,3.86,3.9,3.86,3.34,4.12442906864364
2.26,4.78,2.14,4.220000000000001,3.9,-3.2342377046105044
3.34,2.5,1.1400000000000001,2.9,4.7,-2.6911926069531034
2.02,3.62,4.46,4.46,4.42,-31.1632689391754
4.7,1.1,1.54,4.78,2.2199999999999998,32.72928544485413
2.66,3.74,1.02,2.26,4.26,4.43339712791932
3.5,2.7,2.02,4.82,4.220000000000001,-20.57921022456219
3.38,1.9,4.74,3.18,4.66,-44.455516716241114
2.8600000000000003,4.9,1.46,2.34,3.2600000000000002,12.859754747643217
2.2199999999999998,2.8200000000000003,1.58,3.5,3.86,-1.819892018889876
4.9,3.42,1.38,1.38,3.46,13.836714464769088
1.1400000000000001,4.58,4.62,3.14,3.18,4.586184977972735
2.54,3.06,3.22,2.98,4.1,-12.171324011201326
3.1,3.58,4.42,4.9,3.74,-26.723681189042026
1.98,2.62,4.0600000000000005,2.94,2.54,18.563450299273235
1.5,4.82,1.26,4.58,1.02,14.606017459598075
2.38,1.46,3.86,4.74,1.22,44.36828716183574
4.1,1.02,1.78,3.38,1.38,28.401616678542286
1.8599999999999999,1.3,4.02,1.74,2.8600000000000003,6.033387041457455
3.22,4.42,1.5,3.62,4.74,-3.2455355701120254
4.54,1.1400000000000001,2.7800000000000002,3.98,2.1,48.53665747222809
4.34,1.98,3.7,4.859999999999999,3.38,-9.83680519918875
2.58,1.8599999999999999,1.98,3.02,1.94,19.186595023645644
2.9,3.02,2.94,2.46,3.06,10.467422870933815
4.0600000000000005,1.26,4.1,2.42,1.3399999999999999,44.33078930816589
3.18,1.06,3.58,2.54,2.26,25.68709015397488
4.58,1.5,2.66,3.34,1.3,46.07771444874393
3.98,2.2199999999999998,1.3399999999999999,3.2600000000000002,3.02,10.944432671997696
1.22,4.54,1.74,4.34,2.74,9.140002705522052
4.66,1.18,2.26,3.1,2.66,20.621049889795312
2.94,2.34,2.98,4.0600000000000005,2.8200000000000003,18.1226423759997
3.58,3.46,3.2600000000000002,2.2199999999999998,3.94,-6.170532509653117
1.54,4.140000000000001,4.140000000000001,2.74,2.7,13.84156067050753
3.62,4.38,4.9,2.06,3.1,17.374969047897917
4.26,3.7,1.8599999999999999,2.7800000000000002,4.140000000000001,-2.7546144225175007
