epsilon,c,I,r,B
4.140000000000001,4.18,1.26,2.7800000000000002,0.0009972245835325163
3.98,1.1400000000000001,4.78,4.02,0.03658720219059934
3.38,3.18,3.18,4.9399999999999995,0.002997432158849052
1.42,3.8200000000000003,3.14,3.42,0.007051939917446404
3.54,3.42,4.300000000000001,3.66,0.004515980185085985
2.7800000000000002,1.78,1.58,1.46,0.019554177912827705
1.7,4.859999999999999,3.42,2.14,0.006334480512996048
1.26,1.38,3.74,2.46,0.10083885571789955
2.2199999999999998,1.1,1.06,1.22,0.051478729681336995
3.14,4.58,4.42,4.98,0.0021446303820118924
3.5,3.3,3.9,1.3,0.01252695341140459
3.7800000000000002,2.02,2.06,2.54,0.008368721139819261
4.78,3.74,4.82,1.7,0.00674911996086706
4.7,2.7800000000000002,1.1,4.220000000000001,0.0011421231016430005
2.02,4.34,1.3,4.5,0.0012084262250972406
1.02,3.02,1.22,2.42,0.00862482990082633
