m_0,v,c,m
2.794452908685394,1.4651318523855572,4.740409514446792,2.9383177415274746
1.9595527011246765,1.1524767315999007,6.3444511390003075,1.9927052610854108
3.5158669188061458,1.3036575911360058,8.342653546976232,3.559595473485208
2.3434064032703654,1.1151479772012494,7.4708514142317535,2.3699570326368
1.139847922543248,1.1631656820291592,8.124832622151184,1.1517113592760984
3.2170105437331045,1.3922361067560134,4.1356905696820645,3.4164141110880366
4.941546023557863,1.357311142676867,5.60420051820601,5.093182741648703
2.937933268245503,1.9082708071262613,7.946717592762854,3.0264884870885176
1.983203762883874,1.9510804940647264,4.522862957352324,2.1982607240847423
2.941195726447289,1.43186352259936,5.790645807277873,3.0354583866685605
4.35379445940038,1.8553166551461049,6.843682289103807,4.52318117479954
4.5194652193146005,1.756350284658521,5.73579330118641,4.747515046539077
2.643476040086294,1.6126960614484234,4.310750041284445,2.8504647957422886
2.077456214077525,1.061183028706475,6.962941846563872,2.1020114574592803
3.6561877803344736,1.1162049632586784,5.506530971636801,3.733700469422542
4.98341639408583,1.7172860527901603,4.741168924190507,5.346453636720637
3.026927524682563,1.6745347705133344,3.3922557759942165,3.4805495758245053
