gamma,pr,rho,c
4.521208193999517,2.5015675648341267,3.6003699409327568,1.7723921099605064
2.9754461308505538,3.493229231826365,1.9090633524768403,2.3333474806762324
1.1210918819457878,2.5140978370051013,2.275662202201794,1.1129042297766851
2.200696881840125,1.1971560610283178,1.456067089083855,1.3451316934238633
2.356753789013249,2.3673214025340794,3.3503568481720936,1.2904470407337127
1.0180607833734865,3.4611563542761052,1.9277395529059085,1.3519893929253837
1.0117158992972841,4.24725815948103,3.9935560355645623,1.0372984427292475
3.831284603706522,1.015691856076138,3.2001337732511588,1.1027298371923415
2.882562906275344,4.921657152501248,4.198852653584412,1.8381449611709435
3.2026055524715704,2.6391928392552577,3.928061731225596,1.4668919865421433
2.7987588427790393,4.185790429087584,4.794936309698817,1.5630758683346402
1.2810664738113091,1.2841162341795362,4.329569649705967,0.6164042661133442
4.727360976604813,2.049810036392489,1.5816872654310732,2.4751748384598184
4.091161587209463,1.4452829666137896,4.283447999104116,1.1749056957575683
2.0527812136034984,4.330343996151445,2.3575838165128427,1.9417752451240733
4.766470046617095,3.553219563197701,3.726297923973035,2.1319188477808853
4.457765899760822,1.9764610942087104,4.104173704609634,1.465176340190855
2.519371390255055,4.646689936630148,4.722160705158164,1.5745177542763027
1.0825450046447622,1.8612749390238776,2.220864469467856,0.9525048968020996
2.2701129061688,1.9120465202705972,1.9140282214595172,1.5059092039217044
4.743789860357981,1.984288407724128,2.024955838943923,2.1560426153200742
4.8755134046531285,3.466176674138341,1.3581679842566774,3.5274330582926723
2.5149176492387566,1.6074078717475342,3.8415745836296367,1.0258179520838486
1.6429722432695135,3.2952655909088957,4.809299114174326,1.0610098861536137
3.915678771503621,1.6184379174043353,1.3200963614670025,2.191032066423173
3.2635602774945283,1.7348386064648318,2.9077635158823623,1.3953906763058948
4.132244662067886,4.4826887991934,3.0219992840877064,2.4757975571819433
4.498925774228418,1.4431250307855463,1.9117438082888056,1.8428566223463625
4.092579222557731,1.6537502449915058,1.6308674502409883,2.037155476738078
1.493391832214633,4.063024856252064,2.0812192842199475,1.7074685172472517
4.254905717335515,2.4456307509910427,1.1439247008044124,3.0160719311103725
3.553407932660164,3.914647839362541,2.1806076342466443,2.525690433258749
4.705486674761129,4.419631743096298,2.8469324894635317,2.7027553251236136
2.543384704040551,3.1163344647796416,1.0546576385964397,2.741399363998428
2.0588720643256604,4.061697104499833,1.3297766732592469,2.507720279212916
