alpha,n,d,k
3.1351738033634335,1.6519097365187363,1.9813223084513472,6.018663288559643
4.42437763397772,1.7527257004421126,3.6979488928518935,4.289011364856068
1.3070541185667617,1.1183458315256805,1.906319752595364,3.852135605546022
1.8012112269728529,1.6621565371349734,2.26219362393648,3.0098358978845163
2.512926800041234,2.5152923125624707,1.332453376304188,4.711066355143858
3.1542528638834937,3.467882196452773,2.582527734704393,2.2129267776076587
1.8450136887852195,3.1503819042456467,3.0377354422372016,1.2113406976835042
2.95565715999176,4.9466340245513845,1.1320503023357928,3.316335193951079
2.6095582414958565,2.506152914313761,3.085886407846055,2.1201147169642542
2.1614114539268794,4.0626466208411,2.3799450770715502,1.4045633572783358
2.9311728149018603,2.3725676278476646,4.49898506124688,1.7253934338902568
3.823532732896068,4.1902327175933936,1.983475501371456,2.890544745413362
2.8493197000743664,2.079980456419368,4.2223167381259445,2.038501267924064
4.381558567284937,2.6849257987677224,1.214350137292429,8.44368990326516
2.9371937413408435,3.2799202998822983,1.1149962883616986,5.046331192923235
2.446321601169496,2.6013497586713044,4.2063784204307035,1.4047088855207868
1.169087351793224,4.251803712153301,2.177253448225454,0.7934958075833904
4.781177400706593,2.5178460625335064,3.716675506630705,3.2101912476763554
2.941474049312859,1.0769054882553974,3.507295225499449,4.893222626986303
3.85508726935364,4.329213416825388,1.3546152417566255,4.130371625832538
3.7024486222776822,3.663721214720733,2.7344472968448077,2.3220786875680246
3.746348822642217,2.1969228624036643,1.7990790384646678,5.955565817101278
2.6547751221838416,4.084804530579957,3.1345753315025373,1.3027396065287
4.995861198109392,4.7353662843718025,4.47610839547812,1.480935211767706
4.083171932233755,4.327827082407218,4.472846966215436,1.3253286793415973
2.195296095399183,1.2851202406825708,4.383414588673632,2.4485933226046424
3.3554166805864702,4.2143996516963735,4.700113725061792,1.0643445576252533
2.1617075346325434,4.271202320324977,1.5426997686601114,2.0613191904709933
4.87430901655703,1.6025759421835422,4.723327111124725,4.0460037857093845
4.9048283011671066,2.6114869563768632,2.7065639067135656,4.360110846185177
4.461132852830861,2.429609612483989,2.9311766213668653,3.935922512930016
1.7145947766798215,2.9751562000091667,1.7226070587146114,2.102061269854343
4.585045786398947,2.895319110151497,2.5301325476866223,3.932636764924818
2.596682738509298,3.603631818756878,2.014711455608436,2.247219478374244
1.028555214673057,4.961187951094235,4.069353577383774,0.3201078850475499
1.89257413136783,1.5087247879275694,3.6946510185243127,2.133287159316508
3.195027106832056,3.081468910469177,2.0430202702184963,3.188775535657451
3.6677109072771135,3.4918566661805897,1.4745043513345082,4.475818821079627
4.586201375188325,3.4723361944747726,2.9686230961912115,2.7954785183305013
2.2454275296780617,2.532310753671724,4.8519395110755505,1.1482766513757747
3.4300576143934984,3.9380547402891546,3.4574434635881666,1.5828670818477375
