n_rho,p_d,Ef,kb,T,Pol
2.5,2.06,4.18,3.7800000000000002,1.94,2.0157466499390897
2.3,4.38,3.14,2.94,2.62,5.995643869761644
1.62,4.26,2.02,2.1,4.300000000000001,2.1921818471760792
4.859999999999999,2.7800000000000002,1.58,4.98,3.58,1.109556249579323
2.1,1.94,3.06,1.18,3.7800000000000002,1.807378531073446
2.1799999999999997,2.42,2.06,2.66,2.66,1.2389960389696042
4.220000000000001,1.38,3.2600000000000002,4.859999999999999,4.9,0.36672002015621064
4.78,1.74,3.74,3.98,1.3399999999999999,3.3828977424435624
2.74,4.42,3.5,4.18,2.7,5.533524602752674
1.9,1.82,2.8600000000000003,2.34,2.34,1.0957448559670786
1.54,3.66,4.98,4.02,3.62,2.3531865424259926
1.5,3.7800000000000002,4.859999999999999,2.42,3.9,3.678831532104259
4.46,2.74,4.7,4.54,2.2199999999999998,5.204796576311995
3.5,4.66,1.62,3.38,3.98,3.0509413933573195
3.18,4.58,4.74,1.1,4.18,22.921666846454983
2.62,4.82,1.54,3.02,2.74,3.776046451072332
3.06,3.86,1.02,4.7,2.8200000000000003,1.1695747578089633
3.34,2.1,1.7,3.34,3.94,0.634263959390863
3.86,3.34,3.3,3.8200000000000003,2.58,4.806067372864157
1.38,3.54,2.1,1.46,2.54,3.2643527127602203
4.34,2.3,4.1,1.58,3.5,5.673915611814345
1.1,3.18,1.6600000000000001,4.220000000000001,2.1,0.69454759647935
4.74,3.94,1.9,4.0600000000000005,4.859999999999999,2.361787548906323
3.22,4.74,1.1,1.62,4.98,3.288059199762011
3.14,2.98,3.8200000000000003,2.9,4.7,2.6050042044509665
4.18,3.62,3.38,3.54,2.9,6.011565847132929
2.7,4.62,4.38,3.14,1.22,21.96398266680589
1.78,1.3399999999999999,1.26,3.22,2.8600000000000003,0.14576625114016414
3.42,1.06,1.8599999999999999,2.98,3.38,0.236535626067273
4.82,4.34,2.14,4.34,1.1,13.565524848484849
1.02,1.7,4.02,4.46,1.7,0.5209775784753362
1.8599999999999999,3.9,4.26,1.38,3.18,9.154282198523378
1.18,1.1,3.94,1.42,4.5,0.2934549817423057
4.42,4.7,1.78,2.58,1.46,15.379569218788719
2.8600000000000003,4.1,3.98,2.7800000000000002,1.26,18.208753758897643
3.66,2.54,2.58,3.7,4.34,1.2646068103126167
3.1,3.3,3.86,2.1799999999999997,2.5,7.9700146788990835
4.1,4.9,3.18,1.02,1.74,58.79392607617762
1.74,4.9399999999999995,2.34,3.94,4.38,1.9192317363187534
2.46,1.6600000000000001,4.54,1.74,2.26,2.6087243617129494
4.38,2.66,4.34,3.2600000000000002,4.54,3.0292310910515936
2.8200000000000003,1.1400000000000001,3.02,2.54,2.06,0.7050883877379407
1.7,2.38,4.78,4.82,4.46,0.7137195293650646
1.3,4.54,2.62,4.9399999999999995,4.42,1.0717312058426611
2.02,2.7,2.2199999999999998,2.74,3.7,1.074875912408759
1.3399999999999999,2.2199999999999998,2.46,1.6600000000000001,1.54,2.118340603974338
3.94,1.9,3.34,2.8600000000000003,2.3,2.407325225499138
3.02,3.5,4.5,3.18,3.14,5.557475063093377
2.7800000000000002,1.22,1.98,3.9,3.3,0.21219241025641028
