epsilon,p_d,theta,r,Ef
2.45,2.45,2.67,1.17,-0.06032600027604206
2.79,1.55,1.51,2.0700000000000003,0.0009068480104135401
1.51,1.09,1.3900000000000001,1.05,0.026331591453300655
1.31,1.21,1.79,1.71,-0.009360148861950796
2.75,2.13,2.51,1.33,-0.0374535903454814
2.85,2.4299999999999997,2.55,1.65,-0.020975631266014507
1.95,1.95,2.1100000000000003,2.09,-0.011521791050547837
1.75,1.47,2.19,1.6099999999999999,-0.02271103183403759
2.1100000000000003,2.0300000000000002,2.5300000000000002,2.13,-0.011173041939764249
1.79,2.71,1.55,1.3900000000000001,0.0027979803366939226
1.07,2.91,1.35,1.15,0.09122442997190537
1.85,1.01,2.9299999999999997,2.9299999999999997,-0.0010639416843921403
1.27,2.17,2.79,1.49,-0.03987019282830441
2.39,1.49,2.25,1.09,-0.05617206833997475
2.69,1.13,2.23,1.45,-0.01592655450683128
2.6500000000000004,1.07,2.69,1.47,-0.011915287452583889
2.71,1.57,1.03,2.05,0.007085441498913381
2.5300000000000002,1.99,2.21,2.6500000000000004,-0.0048310487594392425
2.41,2.1100000000000003,1.99,2.19,-0.007398465626620039
1.83,1.8900000000000001,2.0300000000000002,1.67,-0.021033463665645177
2.01,2.51,2.09,2.35,-0.009895998029630062
2.33,2.05,1.73,1.87,-0.005027756902582917
2.21,1.27,2.01,1.25,-0.02703319309627877
2.91,2.89,2.73,2.85,-0.0037552802779506436
2.4699999999999998,1.51,1.21,1.51,0.014000925916999397
1.17,2.85,1.69,1.73,-0.013261718917907402
1.97,2.01,2.17,2.63,-0.0062360352365101205
1.81,1.9300000000000002,1.17,1.03,0.0836862189483965
2.89,2.83,2.6100000000000003,1.97,-0.013360944331399614
2.83,1.29,1.45,1.35,0.0052909553082234944
1.77,2.19,1.43,2.71,0.0020621056983573067
2.67,2.95,1.01,1.13,0.08233451170024302
1.8900000000000001,1.3900000000000001,1.47,1.8900000000000001,0.0026036229606777135
1.67,1.77,1.11,1.19,0.05980242343577302
2.55,1.11,1.67,2.45,-0.0006964189381168206
1.05,1.25,2.89,1.9100000000000001,-0.009834354279759979
2.27,2.79,1.75,2.59,-0.002962096948589352
2.0700000000000003,2.4699999999999998,2.45,2.23,-0.012618421363586325
2.4299999999999997,2.73,2.13,1.43,-0.04124631474429822
2.95,1.35,1.09,2.49,0.0029017768301607054
