epsilon,p_d,r,x,y,z,Ef
1.25,1.4100000000000001,2.17,1.9300000000000002,2.41,1.09,0.018834891187651706
1.19,1.47,2.51,2.41,1.8900000000000001,1.37,0.012420519841789289
2.85,2.6500000000000004,1.9100000000000001,1.45,1.09,1.97,0.0312068074445367
2.55,1.37,2.31,2.71,1.37,1.55,0.009178095813489164
2.13,1.45,1.03,1.99,2.5700000000000003,2.1100000000000003,0.9614592276661975
1.57,1.67,1.13,1.25,2.19,1.95,0.6777216448834822
1.73,2.29,1.69,2.49,1.79,2.81,0.1975306510336715
1.9300000000000002,1.81,1.53,1.13,2.99,2.29,0.19546665522925458
1.53,1.95,2.59,2.6100000000000003,1.19,1.6099999999999999,0.01205685523880792
1.75,1.9100000000000001,1.27,2.51,1.05,1.21,0.25963642239860646
1.17,1.9300000000000002,2.35,2.05,1.73,1.53,0.02255082466726487
2.15,1.6099999999999999,2.13,2.09,1.51,2.89,0.03038440039246939
2.63,2.23,2.6100000000000003,1.27,1.65,1.9100000000000001,0.006646697630717994
2.37,2.9299999999999997,1.05,2.69,1.87,1.4100000000000001,1.0682277286418989
1.07,1.03,1.33,2.29,2.27,2.59,0.4611693321858206
1.4100000000000001,1.63,1.01,2.27,1.07,2.6100000000000003,1.7199188375257135
2.91,1.07,2.09,2.35,2.13,1.27,0.008866669254063533
2.35,1.65,1.97,2.4699999999999998,1.83,2.5700000000000003,0.04463142709313456
1.05,1.51,1.95,1.4100000000000001,2.91,2.09,0.08229230158271664
1.27,1.35,1.71,2.79,1.13,2.71,0.14158532510140892
1.69,2.69,2.4699999999999998,1.01,2.31,1.85,0.01927803237056464
1.65,1.33,2.25,1.03,1.99,1.13,0.008449675896342093
1.55,1.11,2.23,1.65,1.15,2.49,0.015525191511778086
1.83,1.69,2.73,2.87,2.95,1.5899999999999999,0.009514367149827332
1.01,1.31,1.8900000000000001,1.9100000000000001,1.69,1.43,0.04682580720744021
2.39,2.49,2.75,1.3900000000000001,1.17,2.9299999999999997,0.008418597580834727
2.17,2.35,2.49,1.77,2.77,1.79,0.015892941220591508
1.63,1.29,2.95,1.55,2.0300000000000002,2.13,0.004600658789752932
2.77,1.71,2.5700000000000003,2.99,2.29,2.01,0.009950859536976659
1.21,2.85,1.3900000000000001,2.15,1.35,2.35,0.6465114223204107
1.79,1.73,1.5899999999999999,2.37,2.6100000000000003,1.23,0.0984559680582458
1.47,1.09,2.87,1.87,1.25,1.29,0.002637851170741645
1.97,2.09,2.0300000000000002,1.51,2.9299999999999997,1.73,0.0418959680344533
1.37,1.87,2.45,2.25,2.05,1.57,0.01764104762792142
